map_number,robot_id,trajectory_id,t,x,y,vx,vy,speed
1,1,map_001_robot_1__control_points_20260806_125527,0.0,0.9600000000000002,11.115000000000002,-0.3550404926187367,-0.7169004453904648,0.8000000000000014
1,1,map_001_robot_1__control_points_20260806_125527,0.1,0.9244959507381265,11.043309955460956,-0.3525722823642514,-0.7180839437405027,0.7999698522753534
1,1,map_001_robot_1__control_points_20260806_125527,0.2,0.8894855435271498,10.971383211251903,-0.3433934607959648,-0.7224851571953081,0.7999399172968923
1,1,map_001_robot_1__control_points_20260806_125527,0.30000000000000004,0.8558172585789338,10.898812924021895,-0.3305448078055129,-0.7284494741736296,0.7999365639793076
1,1,map_001_robot_1__control_points_20260806_125527,0.4,0.8233765819660471,10.825693316417178,-0.32016263266871015,-0.7330809821567144,0.7999448967005243
1,1,map_001_robot_1__control_points_20260806_125527,0.5,0.7917847320451918,10.752196727590551,-0.30554693041441316,-0.7392595927719086,0.7999147905814458
1,1,map_001_robot_1__control_points_20260806_125527,0.6000000000000001,0.7622671958831643,10.677841397862794,-0.2889264927352819,-0.7459215682920046,0.7999234364909649
1,1,map_001_robot_1__control_points_20260806_125527,0.7000000000000001,0.7339994334981355,10.60301241393215,-0.2759925620795869,-0.7507781256828423,0.7998997989292761
1,1,map_001_robot_1__control_points_20260806_125527,0.8,0.7070686834672469,10.527685772726226,-0.2578974739151496,-0.7571735909477013,0.7998893385215559
1,1,map_001_robot_1__control_points_20260806_125527,0.9,0.6824199387151055,10.45157769574261,-0.23656583047470603,-0.7640995860695625,0.799882222317676
1,1,map_001_robot_1__control_points_20260806_125527,1.0,0.6597555173723058,10.374865855512313,-0.21678536781665203,-0.7698740952982703,0.7998137397611592
1,1,map_001_robot_1__control_points_20260806_125527,1.1,0.639062865151775,10.297602876682957,-0.19575726249755565,-0.775475351514217,0.7998018045907594
1,1,map_001_robot_1__control_points_20260806_125527,1.2000000000000002,0.6206040648727946,10.21977078520947,-0.17143803809097102,-0.7812525657494405,0.7998415920634316
1,1,map_001_robot_1__control_points_20260806_125527,1.3,0.6047752575335806,10.141352363533066,-0.14201529514072808,-0.7871086589886218,0.7998177199267185
1,1,map_001_robot_1__control_points_20260806_125527,1.4000000000000001,0.5922010058446492,10.062349053411747,-0.11055768885656736,-0.7921036731110291,0.7997819899955798
1,1,map_001_robot_1__control_points_20260806_125527,1.5,0.582663719762267,9.982931628910858,-0.07862971974359967,-0.7957980755046208,0.7996731893741438
1,1,map_001_robot_1__control_points_20260806_125527,1.6,0.5764750618959293,9.903189438310825,-0.04359762305757586,-0.7984018009785459,0.7995912634227915
1,1,map_001_robot_1__control_points_20260806_125527,1.7000000000000002,0.5739441951507519,9.823251268715149,-0.005554753963207482,-0.799507674450652,0.7995269706501973
1,1,map_001_robot_1__control_points_20260806_125527,1.8,0.5753641111032878,9.743287903420693,0.03525795015147981,-0.798699218935603,0.7994770574426927
1,1,map_001_robot_1__control_points_20260806_125527,1.9000000000000001,0.580995785181048,9.66351142492803,0.07843689570616208,-0.795587622672322,0.7994448148292765
1,1,map_001_robot_1__control_points_20260806_125527,2.0,0.5910514902445201,9.584170378886226,0.1234167587817998,-0.7898550447424881,0.7994389833210305
1,1,map_001_robot_1__control_points_20260806_125527,2.1,0.605679136937408,9.505540415979535,0.16949138000930652,-0.7812979843027392,0.7994709927026636
