map_number,robot_id,t,x,y,vx,vy,speed
1,1,0.0,0.9599999999999997,10.874999999999998,0.7823062259213343,-0.16719110105485768,0.799972434142088
1,1,0.1,1.0382306225921332,10.858280889894512,0.7794302142459024,-0.17966987627254838,0.7998704415836394
1,1,0.2,1.1158860428491804,10.839066024745488,0.7734629306665584,-0.20387800953185575,0.7998819587201431
1,1,0.30000000000000004,1.192923208725445,10.817505287988144,0.7671467476503935,-0.22653067429241958,0.7998939172327508
1,1,0.4,1.269315392379259,10.793759889887003,0.7606430970126157,-0.24753193366860415,0.7999062315163332
1,1,0.5,1.3450518281279682,10.767998901254423,0.7541073125400555,-0.2668184522128598,0.7999186991611404
1,1,0.6000000000000001,1.4201368548872702,10.74039619944443,0.7476843882174586,-0.2843549480840011,0.7999310475809589
1,1,0.7000000000000001,1.4945887057714602,10.711127911637623,0.7415061183845122,-0.3001290542506396,0.7999429809724251
1,1,0.8,1.5684380785641725,10.680370388594302,0.7356894786381059,-0.31414605173281984,0.7999542179388315
1,1,0.9,1.6417266014990812,10.64829870129106,0.7303360289404166,-0.326423822277917,0.7999645160374191
1,1,1.0,1.7145052843522557,10.615085624138718,0.7255320891107377,-0.33698825214669625,0.7999736835760767
1,1,1.1,1.7868330193212283,10.58090105086172,0.7213494399094653,-0.3458692178098488,0.7999815812167778
1,1,1.2000000000000002,1.8587751723341488,10.545911780576748,0.7178463277407161,-0.35309720570126046,0.7999881167397862
1,1,1.3,1.9304022848693712,10.510281609721465,0.7150685867808271,-0.3587005633647493,0.7999932361957305
1,1,1.4000000000000001,2.0017888896903147,10.4741716679038,0.7130507310703358,-0.3627033463527667,0.7999969140786953
1,1,1.5,2.0730124310834377,10.43774094045091,0.7118169057181856,-0.3651237102853244,0.7999991444237511
1,1,1.6,2.144152270833952,10.401146925846737,0.7113816183236352,-0.3659727962701069,0.7999999340615693
1,1,1.7000000000000002,2.215288754748165,10.364546381196888,0.7117501984070618,-0.3652540664322004,0.7999992987357865
1,1,1.8,2.286502310515364,10.328096112560294,0.7129189547583188,-0.36296306121427335,0.7999972624076473
1,1,1.9000000000000001,2.357872545699829,10.291953768954036,0.7148750196736788,-0.3590875686412289,0.7999938597927562
1,1,2.0,2.429477314450099,10.256278598832045,0.7175958870191135,-0.35360821558597166,0.799989141924216
1,1,2.1,2.5013917231036524,10.221232125836844,0.7210486700424177,-0.3464995100833761,0.7999831842344931
1,1,2.2,2.5736870484585825,10.18697869681537,0.725189126880279,-0.33773137962717925,0.7999760962242931
1,1,2.3000000000000003,2.6464295484797082,10.153685849911408,0.729960528420083,-0.32727126039241483,0.7999680311926012
1,1,2.4000000000000004,2.7196791541425993,10.121524444736886,0.7352953529285227,-0.31507971614522745,0.79995905117977
1,1,2.5,2.793488619065413,10.090669906682365,0.7411189728004874,-0.30109853914788687,0.7999485371708865
1,1,2.6,2.867902948702696,10.061304736907308,0.7470529562942438,-0.28605164493217927,0.7999460376027717
1,1,2.7,2.942899210324262,10.033459577695929,0.7526285620981348,-0.27104840740371827,0.7999481180939161
1,1,2.8000000000000003,3.018428661122323,10.007095055426564,0.7577275582981127,-0.256456394262095,0.7999505827001658
1,1,2.9000000000000004,3.094444721983885,9.98216829884351,0.7623750408832564,-0.24230035130742777,0.7999532256360055
1,1,3.0,3.1709036692989745,9.95863498516508,0.76659949463318,-0.22859307440705123,0.7999559855634025
1,1,3.1,3.2477646209105204,9.936449683962099,0.7704291081129515,-0.21534410331882015,0.799958807353169
1,1,3.2,3.3249894909215647,9.915566164501316,0.7738914919400486,-0.20256008838850192,0.7999616432711959
1,1,3.3000000000000003,3.40254291929853,9.895937666284398,0.7770134538772275,-0.1902451557149547,0.7999644534472927
1,1,3.4000000000000004,3.4803921816970105,9.877517133358324,0.7798208253139229,-0.1784012633247869,0.7999672057960675
1,1,3.5,3.5585070843613154,9.860257413619443,0.7823383332534597,-0.16702854278626234,0.7999698755472631
1,1,3.6,3.636859848347702,9.84411142480107,0.7845895118055566,-0.15612562236887584,0.7999724445225288
1,1,3.7,3.715424986722427,9.829032289145669,0.7865966473135302,-0.14568992929827118,0.7999749002711406
1,1,3.8000000000000003,3.7941791778104084,9.814973438941417,0.7883807515515429,-0.13571796986461493,0.7999772351518185
1,1,3.9000000000000004,3.8731011370327355,9.801888695172746,0.7899615578491108,-0.1262055871231098,0.7999794454237452
1,1,4.0,3.952171489380231,9.789732321516796,0.7913572953162671,-0.11714994252742628,0.7999815484649986
1,1,4.1000000000000005,4.031372596095989,9.778458706667262,0.7925680154259283,-0.10867952019818716,0.7999845605927046
1,1,4.2,4.110685092465417,9.767996417477159,0.793559262405104,-0.10122426118431349,0.7999891586773178
1,1,4.3,4.190084448577009,9.7582138544304,0.794314259316458,-0.09515353210539956,0.799993335738234
1,1,4.4,4.269547944328708,9.748965711056078,0.7948565638292067,-0.09053962890760658,0.799996488407981
1,1,4.5,4.349055761342851,9.740105928648878,0.7952112250062449,-0.08738937233316335,0.7999986217317608
1,1,4.6000000000000005,4.428590189329957,9.731487836589446,0.7953952585597222,-0.08570873565381731,0.7999997529416263
1,1,4.7,4.508134813054795,9.722964181518115,0.7954174877130313,-0.08550365926966208,0.7999999096926279
1,1,4.800000000000001,4.587673686872563,9.714387104735513,0.7952784225669376,-0.08678041675859305,0.7999991313328731
1,1,4.9,4.667190497568183,9.705608098166396,0.7949700601791214,-0.08954637094966245,0.7999974682031502
1,1,5.0,4.746667698908387,9.69647783054558,0.7944713658033855,-0.09384471444025877,0.7999947384263665
1,1,5.1000000000000005,4.82608477072886,9.686839155278344,0.7937587280424445,-0.0996629110560221,0.7999910088142991
1,1,5.2,4.905419444516876,9.676545248334376,0.7928018940205881,-0.10697053527915301,0.7999859614896628
1,1,5.300000000000001,4.9846451495329775,9.665445048222514,0.7915556702558924,-0.11578888157364275,0.7999796523726901
1,1,5.4,5.063730578568054,9.653387472019647,0.7899733821586103,-0.12608751079717706,0.7999725025887715
1,1,5.5,5.142639825964699,9.640227546063079,0.7881169326669202,-0.13720666311510143,0.7999712294573447
1,1,5.6000000000000005,5.2213539651014385,9.625946139396627,0.7862413469900247,-0.14761399601118086,0.7999783419162529
1,1,5.7,5.2998880953627046,9.610704746860842,0.7845656630013345,-0.1563120897344774,0.7999854679666892
1,1,5.800000000000001,5.3782670977017055,9.59468372144973,0.7831659762807668,-0.16320873410958825,0.7999912732608155
1,1,5.9,5.456521290618857,9.578063000038924,0.7820899133141275,-0.16831038274114007,0.7999956358919519
1,1,6.0,5.534685080364531,9.561021644901501,0.7813716907893635,-0.17162711276542097,0.7999984906255906
1,1,6.1000000000000005,5.61279562877673,9.543737577485839,0.7810323451011634,-0.173170990714965,0.7999998225746211
1,1,6.2,5.690891549384763,9.526387446758507,0.7810800327966305,-0.1729550142440246,0.7999996591160125
1,1,6.300000000000001,5.7690116353360565,9.509146574637034,0.7815103464738868,-0.17099262143189975,0.7999980613913309
1,1,6.4,5.84719361867954,9.492188922472128,0.7823066206537774,-0.16729774977005718,0.7999951161081285
1,1,6.5,5.925472959466812,9.475687024683024,0.7834402307733086,-0.16188542068717737,0.7999909278393096
1,1,6.6000000000000005,6.003881664834203,9.459811838334693,0.7848709150308366,-0.15477281934764875,0.7999856116644615
1,1,6.7,6.082447142472979,9.444732460813494,0.7865471727151849,-0.14598083057546773,0.7999792858579242
1,1,6.800000000000001,6.161191099377239,9.430615672219599,0.7884066971447332,-0.1355367031146244,0.7999720732587163
1,1,6.9,6.240128481901926,9.41762512019057,0.7903653482574562,-0.12355828352787768,0.7999650199568012
1,1,7.0,6.31926416902873,9.405904015514023,0.7923148657280663,-0.11032627111352866,0.7999592068046343
1,1,7.1000000000000005,6.398591455047539,9.395559865967863,0.7941690843871534,-0.09602259405984626,0.7999530443509242
1,1,7.2,6.478097985906161,9.386699496702054,0.7958732234206352,-0.0806190381481926,0.7999460088467796
1,1,7.300000000000001,6.557766099731666,9.379436058338225,0.7973697456422073,-0.0640493144498322,0.7999380138154529
1,1,7.4,6.637571935034602,9.373889633812087,0.7985913188708054,-0.04624177014375164,0.7999289942750168
1,1,7.5,6.717484363505825,9.370187704309474,0.7994590223335365,-0.027120937180491467,0.7999189169059837
1,1,7.6000000000000005,6.79746373950131,9.368465446375989,0.7998804922791578,-0.006609527326418174,0.7999077995495646
1,1,7.7,6.8774604619616575,9.36886579884419,0.799748081085383,0.015368875465945564,0.7998957404142367
1,1,7.800000000000001,6.957413355718386,9.371539221469178,0.7989300953490357,0.03897503390083301,0.7998802101077326
1,1,7.9,7.037246481031464,9.376660805624358,0.7972765116372429,0.06425677927686024,0.7998617191061751
1,1,8.0,7.116868658045835,9.384390577324549,0.7946279909437308,0.09114747855051064,0.7998384254569081
1,1,8.1,7.19617207922021,9.39489030133446,0.790804113666546,0.11969153584175984,0.7998107338265039
1,1,8.200000000000001,7.275029480779145,9.408328884492901,0.7856046071263663,0.14991146292133095,0.7997799981578596
1,1,8.3,7.353293000645484,9.424872593918726,0.7788191614764557,0.18175809631411255,0.7997470174115185
1,1,8.4,7.430793313074436,9.444680503755723,0.770233186735858,0.21513209477358686,0.7997130611356468
1,1,8.5,7.507339637992655,9.467899012873444,0.7596381790750257,0.24987531744591962,0.7996798342944005
1,1,8.6,7.582720948889441,9.494655567244907,0.746845256909225,0.2857642714095405,0.7996493335094026
1,1,8.700000000000001,7.656708689374501,9.525051867155353,0.7317014322712581,0.3225071857619852,0.7996235807277859
1,1,8.8,7.729061235343693,9.559157004397305,0.7141075200987643,0.3597463179172422,0.7996042543137327
1,1,8.9,7.799530193394254,9.597001130738802,0.6940358566354945,0.3970668122438141,0.7995922859065294
1,1,9.0,7.86786840667079,9.638570366846068,0.6715453737095913,0.434012728635615,0.7995875421543827
1,1,9.1,7.933839268136171,9.683803676465924,0.6467912884599514,0.4701097597052666,0.7995887424156417
